GE58426	GTF2A1L; STON1-GTF2A1L
GE584500	CLDN19; DNASE2; MRPL52; NOM1; PRRG4; USP46
GE58515	TPTE; TPTE2
GE58537	RABL2A; RABL2B
GE58539	EMR2; YIPF1
GE585552	AIM1; GPR83; MDFIC
GE58559	FAM156A; FAM156B
GE58602	IQCJ-SCHIP1; SCHIP1
GE58675	FAM18B1; FAM18B2
GE58886	UGT2B15; UGT2B17
GE58887	LGALS7; LGALS7B
GE589062	EEF2K; FHDC1; GNPNAT1; HSCB; JAK3; ORAI2; TMEM53; TRIP11
GE58920	MAGEA9; MAGEA9B
GE58945	CARD16; CASP1
GE58964	FAIM3; IL24
GE58966	GLIPR1; KRR1
GE59078	C8orf59; E2F5
GE591846	B3GNT3; C18orf19; DZIP1; ELF5; ORAI2; PGAM5; PPARA; SMYD4; ST3GAL1
GE59186	CNP; DNAJC7
GE59230	GRAP; GRAPL
GE59234	SULT1A1; SULT1A2; SULT1A3; SULT1A4
GE59325	CXorf40A; CXorf40B
GE593579	CCDC113; ZNF260; ZNF620
GE594044	METTL8; PRR11; RAB7L1
GE594705	ENTPD1; PATE4; URB1
GE59481	ARG2; VTI1B
GE59605	ASGR2; CACNA1C
GE59631	HP; HPR
GE59639	ENOSF1; TYMS
GE59666	PLG; SLC22A3
GE59694	HOXC4; HOXC6
GE59737	ANXA8; ANXA8L1; ANXA8L2
GE597966	C10orf76; C14orf119; C17orf62; C1orf212; C1orf52; C2orf15; C3orf62; C6orf174; C8orf79; C8orf86; CAMKK2; CCDC125; DSCR3; INTS2; KIAA0408; KIAA0562; LOC646851; NOL9; TMEM170B; TMEM220; TMEM41B; TNFRSF10B; ZNF135; ZNF320; ZNF490; ZNF549; ZNF578; ZNF677; ZNF737; ZNF780B; ZNF791
GE59810	CYP11B1; CYP11B2
GE598479	ALG1; C9orf66; FBXO45; RIOK2; STAR
GE59861	HIST1H4J; HIST1H4K
GE59884	RHCE; RHD
GE59888	LOC729991-MEF2B; MEF2B
GE599135	ANAPC16; ATXN3; SUMF2
GE60103	H2AFB1; H2AFB2; H2AFB3
GE60200	FANCI; POLG
GE602052	ACACA; ARHGAP1; ZNF264
GE60215	FANCA; ZNF276
GE602175	ENOX2; HTRA4
