name	log.BF.FF.2.	p	q	log.BF.2.	log.FF.2.	T00346116_FF11_1.TXT	T00346118_FF5_1.TXT	T00346121_FF2_1.TXT	T00346125_FF3_1.TXT	T00346128_FF13_1.TXT	T00346130_FF12_1.TXT	T00346131_FF15_1.TXT	T00346132_FF14_1.TXT	T00346135_FF7_1.TXT	T00346114_BF5_1.TXT	T00346115_BF1_1.TXT	T00346119_BF4_1.TXT	T00346120_BF8_1.TXT	T00346127_BF3_1.TXT	T00346129_BF10_1.TXT	T00346133_BF7_1.TXT	T00346134_BF6_1.TXT	T00346113_BMS2_1.TXT	T00346117_BMS16_1.TXT	T00346122_BMS8_1.TXT	T00346126_BMS3_1.TXT	T00346136_BMS10_1.TXT
IL1B	0.353602806	0.181020973	0.554204225	8.2146173	7.861014494	8.165704916	8.357286926	5.324697306	7.035062968	6.67552985	10.74780232	11.2777977	7.398291075	5.766957391	7.348053169	7.322583064	11.95477318	5.013901752	7.519038261	6.261579244	7.09196374	5.069870591	7.134900084	11.71917521	9.740981579	10.00802969	10.60517534
ITPR1	0.931772595	0.324557137	0.293977946	7.541764244	6.609991649	6.561908131	6.49827308	7.488180462	6.150818176	5.473508092	7.112491281	8.794415226	6.297381314	5.112949076	12.17961007	6.024880606	7.214920747	6.17224236	7.961307393	5.63283294	9.168737787	5.155412486	5.588204714	7.762439804	9.775952489	8.581879457	6.824514311
FYN	0.277262818	0.271200501	0.317491807	6.868120621	6.590857803	5.878507474	6.152596529	6.408186779	5.977727374	7.198347895	6.868721761	7.34211292	6.873401801	6.618117695	7.466354269	6.353282897	7.080733941	6.637914804	6.780178885	7.055463319	7.178240627	6.30175617	6.360152807	6.798495705	7.595275239	6.521588326	7.156131086
FLT3LG	-0.113607805	0.517151532	0.442809441	6.161748237	6.275356042	6.238408075	5.955981993	6.378132132	6.593737958	5.525044505	6.551998045	6.419568383	6.398685078	6.41664821	6.274802638	5.862494916	6.151793837	5.677760366	6.557653403	6.467438148	6.208130674	5.750812788	6.663067134	5.971185409	6.118742626	6.459415406	5.939429734
WASL	-0.151203154	0.016168634	0.283767326	6.721783204	6.872986359	6.477187164	6.788267047	6.739114127	6.980699758	7.009652916	6.910860826	NA	6.983732934	7.0943761	6.957285049	6.682654722	6.597503688	6.9125354	6.802757568	7.17835917	6.171733341	6.579642824	7.069878806	6.668861707	6.560813425	6.402293851	6.798862107
HLA-E	0.566961743	0.170469907	0.279219364	8.024396567	7.457434823	7.913513983	7.394308683	7.240513348	6.898454208	6.588271433	7.216379622	8.918910396	7.962111948	6.984449788	9.258272084	6.847093246	8.023274897	8.146938671	8.427509932	6.839428319	9.282951238	6.268271904	7.301606263	7.708435494	9.495078959	7.280881441	9.43741292
KLRF1	-1.580880801	0.003087866	0.002524573	7.714422388	9.295303189	9.623648229	10.11456309	8.930426881	10.21469535	8.610664764	9.686137781	8.417740402	8.687941182	9.371911024	7.387850979	7.222901996	7.446767692	7.456813461	8.164265771	8.14148514	7.492610346	7.331242724	8.522663774	7.834308599	8.364845813	7.388280741	7.533454004
FCER2	-0.105339019	0.736342093	0.481152394	5.949204223	6.054543241	5.938524061	5.657975885	6.044292327	6.089947581	5.649234475	6.045979634	6.323469926	6.326748035	6.414717248	6.372516337	5.378013124	6.101212166	6.045218994	5.71842829	5.796328606	6.220519302	5.916805115	5.754129094	5.068228638	6.850919875	6.158490861	5.958844493
ICAM1	0.341073814	0.189713443	0.287079633	8.702406265	8.361332451	8.220773238	8.654142213	7.961820298	8.31121274	8.314553988	8.52819864	8.31188374	8.564462932	8.384944269	8.655992843	7.712378953	8.734968148	9.54891441	8.617736308	9.614499619	8.949232221	8.329592829	9.562136442	9.236639937	7.843243008	6.988090081	9.337856644
FGB	-0.171020744	0.723978907	0.392456372	7.603545471	7.774566216	7.676126759	7.92372936	7.527044085	7.887945442	7.776402935	7.845050912	7.678652314	7.939211701	7.716932432	7.289141031	7.769069355	7.566112604	7.720972332	7.995076034	7.831901341	7.481028308	6.950862587	7.757558739	9.193611885	7.292212954	7.318676543	6.679867417
